,Illinois,Indiana,Michigan,Ohio,Wisconsin,Iowa,Kansas,Minnesota,Missouri,Nebraska,North Dakota,South Dakota,New Jersey,New York,Pennsylvania,Connecticut,Maine,Massachusetts,New Hampshire,Rhode Island,Vermont,Alabama,Kentucky,Mississippi,Tennessee,Delaware,District of Columbia,Florida,Georgia,Maryland,North Carolina,South Carolina,Virginia,West Virginia,Arkansas,Louisiana,Oklahoma,Texas,Arizona,Colorado,Idaho,Montana,Nevada,New Mexico,Utah,Wyoming,California,Oregon,Washington
Illinois,-0.357289461,-0.598727433,-0.680722948,-0.498668356,-0.89822626,-0.455906464,-0.087016481,-0.566139305,-0.437472521,-0.314469652,-0.290472084,0.283568207,-0.280729804,-0.348393269,-0.103172109,-0.252673376,0.402369292,0.024224358,0.426575452,0.117653043,0.06150633,-0.217007908,-0.308930193,0.028300146,-0.002361643,0.026655643,0.201711508,0.552395515,0.312885012,-0.073016155,0.15823081,0.089684925,0.300743983,0.134913242,0.000868788,0.554027559,0.015469108,0.428216699,0.83191606,0.668913644,0.279375561,0.662499066,0.964369308,0.57156059,0.375334811,-0.393482413,0.639227457,0.954672601,1.094067063
Indiana,-0.794100739,-0.390362013,-0.89684669,-0.86082964,-1.052727942,-0.781822346,-0.130961209,-0.481630051,-0.01963056,-0.15050237,-0.287393505,0.289912685,-0.434825437,-0.244892837,-0.400805253,-0.200777331,-0.189440505,-0.157358732,0.187813165,-0.620427069,-1.09390667,0.202921884,-0.695015964,0.135029905,-0.312580905,-1.01485976,-0.30350309,0.358771713,-0.184523265,-0.305359727,-0.059189982,0.179307947,0.09219826,0.092162189,-0.031295166,-0.140435381,0.282673152,0.38172007,1.083073535,0.574015845,1.039217333,0.654286221,0.529683201,1.414958571,0.658750838,0.4011974,0.369656469,0.921863636,0.682557754
Michigan,-0.582177161,-0.817931148,-0.279812879,-1.041425758,-0.735125163,-0.252756179,-0.277124359,-0.092864335,0.057017634,0.255124126,0.366868536,-0.032433688,-0.343462225,-0.43908364,-0.713304177,-0.190652302,0.365940823,-0.141656797,-0.224828093,0.066932697,-0.254561865,-0.033580921,-0.255542467,0.312033711,-0.030276495,-1.408425195,-0.159627709,0.630896886,0.042765873,-0.467945928,0.134577961,-0.263632098,0.171123118,-0.205772963,0.313534265,0.080632074,0.079577237,0.407043683,0.895324683,0.443431887,0.946454445,0.401408344,0.721489726,0.592979705,0.168953014,0.3513189,0.57528522,0.847557343,0.835123684
Ohio,-0.557823197,-0.778087417,-0.891558308,-0.465262164,-0.742583244,-0.118872494,0.321879782,-0.286330809,-0.023387847,0.00971348,0.131760348,0.263873823,-0.536883603,-0.548128176,-1.059488218,-0.180932604,-0.192235091,-0.489572066,-0.066126964,-0.351950506,-0.108643135,-0.197219933,-0.591767074,-0.10057297,-0.28321605,-0.852894547,-0.262199969,0.442000452,0.001096396,-0.640478966,-0.276826089,-0.231747689,-0.278785529,-0.731320385,0.280773351,0.028563832,-0.248372255,0.413111364,0.752893994,0.494810898,0.880074634,0.665223642,0.77647082,0.524733005,0.38644923,0.505870531,0.438480057,0.512879703,0.765014692
Wisconsin,-0.870132525,-0.558118906,-0.683086819,-0.495196788,-0.364003015,-0.570704561,0.090537752,-0.54531877,-0.208734599,-0.374754821,-0.083605393,0.300678418,-0.25118548,-0.337000975,-0.10893568,-0.407372211,0.446044937,0.173311197,0.666736638,0.783361779,0.17028698,-0.146882301,0.141458198,0.230331424,-0.302320306,0.039210111,-0.172663413,0.552755101,0.199434727,0.199386403,0.522053797,0.359706332,0.208964341,0.491509513,0.519002564,0.329337596,-0.279041415,0.47688391,0.941028919,0.425011249,1.162952024,0.797806928,0.492745255,0.64940648,0.37756295,0.003612996,0.502162905,0.478896677,0.903364605
Iowa,-0.645970116,0.198341472,-0.349939362,0.118840891,-0.766276797,-0.37927009,-0.429748781,-0.822078315,-0.392994109,-0.556658669,0.187128802,0.033307427,0.173088691,-0.272062825,0.380544946,0.508086474,0.976040407,0.046155411,0.000425146,2.034083788,0.262320797,0.722428154,0.621274801,0.287763922,0.271039134,-0.604446394,-0.084064177,0.786318395,0.641918623,-0.05113691,0.692137602,0.802930121,0.843657952,0.4545196,0.272516925,-0.174408319,-0.136176431,0.315702526,0.725924683,0.404147094,1.205074856,0.884548365,1.463124699,0.611757834,0.621632275,0.57652791,0.454407366,1.052549277,0.520939704
Kansas,0.053238288,0.03310887,0.282455022,0.108163626,0.014829646,-0.288573261,-0.05781828,-0.426840189,-0.527045065,-0.298288517,-0.217061721,-0.16050518,0.563942593,0.360208345,0.284052595,0.31062582,0.420317919,0.749075905,0.97512088,0.739961677,-0.571343505,-0.015585082,-0.033448742,0.602208174,0.18055626,2.432434753,-0.879485142,0.4382107,0.880263563,0.568634283,0.86751762,0.43570353,0.936398073,0.555808227,0.026891839,-0.061239691,-0.604856852,0.412716856,0.700996611,0.537139384,0.589895522,1.063853685,0.396296849,-0.520262793,0.252755876,0.342222132,0.562323449,1.407216299,1.100749967
Minnesota,-0.539152595,0.069750957,-0.273077189,-0.104825805,-0.620644062,-0.670491149,0.000778936,-0.365290817,-0.741601066,-0.377382404,-0.035556189,-0.176205373,-0.06611922,0.044883918,0.000431041,0.297212487,-0.165057714,0.327998509,0.094991703,0.514467901,0.54954741,0.11158452,0.184812204,-0.003532382,0.380841855,0.185720718,0.318086898,0.781632408,0.444458065,-0.036374547,0.567024,0.335584483,0.736017679,0.094372603,-0.033629608,0.375466166,-0.173514619,0.279535867,0.697167624,0.285997764,0.539933039,0.497616822,0.608130516,0.461352818,0.389697198,0.130617232,0.627019572,0.84108516,0.784618388
Missouri,-0.625231621,-0.391398546,-0.093113782,0.082759947,-0.454838585,-0.512902773,-0.400651334,-0.593361819,-0.273689257,-0.213051493,-0.309929429,0.097730189,0.11147896,0.089251355,-0.085922108,0.372554004,0.383970246,0.718109618,0.953068023,0.335868697,1.374376929,-0.339801664,0.082234173,-0.065035164,-0.145930569,1.040967797,0.135256109,0.521665962,0.288384934,0.127188168,0.472025482,0.221522445,0.671490503,-0.101916077,-0.37083787,-0.517407045,-0.444888271,0.329166914,0.708308522,0.523735251,0.983458851,0.815354473,0.698785769,0.366315217,0.641003762,1.146456331,0.432181456,0.750012984,0.768891598
Nebraska,0.158749528,0.055444162,-0.127259616,0.471366859,-0.540845892,-0.407008606,-0.151643531,-0.397635244,-0.406331631,-0.015634123,-0.57859996,-0.259509195,-0.301522638,0.087471068,0.556708873,0.935221636,2.192249335,0.508145006,0.748478819,-0.016495139,-0.038013626,0.117509934,0.491592195,0.691170514,0.486014003,1.200359185,-0.158484571,0.303878852,0.90478936,0.397204711,0.441033805,0.7703425,0.653816462,2.381358982,0.155821207,0.327352922,-0.148260345,0.377420241,0.522653113,0.286136092,0.905777896,1.465756006,0.338530885,-0.060241376,0.785537301,-0.264834441,0.541859437,1.206611079,1.145975323
