Variable,Estimate,Std..Error,t.value,Pr...t..,Significance,From,To
AlabamatoAlabama,-0.280563538,0.031519564,-8.901250484,5.56E-19,*,Alabama,Alabama
AlabamatoArizona,0.684218206,0.202457432,3.37956577,0.000726118,*,Alabama,Arizona
AlabamatoArkansas,-0.342282343,0.188839586,-1.812556094,0.069901545,,Alabama,Arkansas
AlabamatoCalifornia,0.412140613,0.12013661,3.430599643,0.000602348,*,Alabama,California
AlabamatoColorado,0.746120393,0.162359912,4.595471774,4.32E-06,*,Alabama,Colorado
AlabamatoConnecticut,0.361627497,0.277727586,1.302094266,0.192885394,,Alabama,Connecticut
AlabamatoDelaware,0.226157317,0.526349099,0.429671709,0.667434846,,Alabama,Delaware
AlabamatoDistrict of Columbia,-0.450900284,0.444920626,-1.01343983,0.310851129,,Alabama,District of Columbia
AlabamatoFlorida,-0.299465535,0.070381994,-4.254860064,2.09E-05,*,Alabama,Florida
AlabamatoGeorgia,-0.403728253,0.066128107,-6.105244389,1.03E-09,*,Alabama,Georgia
AlabamatoIdaho,0.739358391,0.588507024,1.256328914,0.208997947,,Alabama,Idaho
AlabamatoIllinois,-0.062438281,0.172152369,-0.362691966,0.716835316,,Alabama,Illinois
AlabamatoIndiana,-0.49561024,0.147661232,-3.356400554,0.000789762,*,Alabama,Indiana
AlabamatoIowa,0.173244172,0.24055845,0.720174957,0.471417972,,Alabama,Iowa
AlabamatoKansas,0.249524264,0.211782529,1.178209862,0.238714102,,Alabama,Kansas
AlabamatoKentucky,-0.384228245,0.112392645,-3.418624453,0.000629488,*,Alabama,Kentucky
AlabamatoLouisiana,-0.222888863,0.132162942,-1.686470194,0.091706551,,Alabama,Louisiana
AlabamatoMaine,0.729492913,0.372370297,1.95905237,0.050107792,,Alabama,Maine
AlabamatoMaryland,-0.18119248,0.1865859,-0.971094169,0.331502351,,Alabama,Maryland
AlabamatoMassachusetts,-0.036134914,0.251320816,-0.143780028,0.885674293,,Alabama,Massachusetts
AlabamatoMichigan,-0.179773542,0.147728804,-1.216915979,0.223637364,,Alabama,Michigan
AlabamatoMinnesota,0.200682528,0.208495819,0.96252543,0.33578669,,Alabama,Minnesota
AlabamatoMississippi,-0.645998395,0.080999839,-7.975304635,1.53E-15,*,Alabama,Mississippi
AlabamatoMissouri,0.053864051,0.143293817,0.375899338,0.70699206,,Alabama,Missouri
AlabamatoMontana,0.603887419,0.231324545,2.61056352,0.009039871,*,Alabama,Montana
AlabamatoNebraska,0.597707003,0.277691911,2.152410565,0.031366011,*,Alabama,Nebraska
AlabamatoNevada,0.445198034,0.416315799,1.069375786,0.284901433,,Alabama,Nevada
AlabamatoNew Hampshire,0.616773967,0.416246223,1.481752705,0.1384074,,Alabama,New Hampshire
AlabamatoNew Jersey,0.266994125,0.372355403,0.717041091,0.47334943,,Alabama,New Jersey
AlabamatoNew Mexico,0.841702053,0.277730684,3.030641195,0.002440606,*,Alabama,New Mexico
AlabamatoNew York,-0.070707665,0.176042932,-0.401650124,0.687941888,,Alabama,New York
AlabamatoNorth Carolina,0.020088357,0.110040642,0.182553979,0.855148149,,Alabama,North Carolina
AlabamatoNorth Dakota,0.104175055,0.480557026,0.216779799,0.828380137,,Alabama,North Dakota
AlabamatoOhio,-0.131049497,0.137452133,-0.953419164,0.340378681,,Alabama,Ohio
AlabamatoOklahoma,-0.066440183,0.215257933,-0.30865382,0.757585139,,Alabama,Oklahoma
AlabamatoOregon,1.174468149,0.416330604,2.820998837,0.004787824,*,Alabama,Oregon
AlabamatoPennsylvania,-0.101579148,0.159290245,-0.637698483,0.523670572,,Alabama,Pennsylvania
AlabamatoRhode Island,0.166219739,0.526374478,0.315782291,0.752168031,,Alabama,Rhode Island
AlabamatoSouth Carolina,-0.13215162,0.141225879,-0.935746486,0.349404657,,Alabama,South Carolina
AlabamatoSouth Dakota,1.031729348,0.526372138,1.960075911,0.049988056,*,Alabama,South Dakota
AlabamatoTennessee,-0.687425187,0.08212994,-8.369970618,5.79E-17,*,Alabama,Tennessee
AlabamatoTexas,0.275523576,0.090578385,3.041824799,0.002351737,*,Alabama,Texas
AlabamatoUtah,0.531693811,0.326716691,1.627384903,0.103656668,,Alabama,Utah
AlabamatoVermont,0.990719747,0.679438917,1.45814395,0.144802158,,Alabama,Vermont
AlabamatoVirginia,0.371964666,0.126194538,2.947549654,0.003203337,*,Alabama,Virginia
AlabamatoWashington,0.621209669,0.182387428,3.405989527,0.000659353,*,Alabama,Washington
AlabamatoWest Virginia,0.530377503,0.285678516,1.856553691,0.063375883,,Alabama,West Virginia
AlabamatoWisconsin,-0.036527666,0.208458586,-0.175227446,0.860901065,,Alabama,Wisconsin
AlabamatoWyoming,0.728531052,0.304191426,2.39497563,0.01662222,*,Alabama,Wyoming
ArizonatoAlabama,0.803745066,0.208639834,3.852308786,0.000117039,*,Arizona,Alabama
ArizonatoArizona,1.349542812,0.090571876,14.90024127,3.46E-50,*,Arizona,Arizona
ArizonatoArkansas,-0.161226489,0.176095014,-0.915565325,0.359895831,,Arizona,Arkansas
ArizonatoCalifornia,0.136969039,0.08543685,1.603161154,0.108900375,,Arizona,California
ArizonatoColorado,0.20816463,0.105701111,1.969370318,0.048911712,*,Arizona,Colorado
ArizonatoConnecticut,0.832968254,0.355193619,2.345110408,0.019022244,*,Arizona,Connecticut
ArizonatoDelaware,1.183088662,0.832114009,1.421786737,0.155089451,,Arizona,Delaware
